2019-6-18_19:6:12:293,#xqcow,5 SPEND ALL GOLD PogU SPEND ALL GOLD PogU SPEND ALL GOLD PogU SPEND ALL GOLD PogU SPEND ALL GOLD PogU
2019-6-18_19:6:12:350,#xqcow,@xQcOW NO SVE
2019-6-18_19:6:12:632,#xqcow,CHILL
2019-6-18_19:6:12:635,#xqcow,5Head
2019-6-18_19:6:12:723,#xqcow,5Head
2019-6-18_19:6:12:748,#xqcow,xqcE
2019-6-18_19:6:12:777,#asmongold,why the new character?
2019-6-18_19:6:12:928,#xqcow,CHILL
2019-6-18_19:6:13:211,#xqcow,STUPID
2019-6-18_19:6:13:258,#xqcow,LEVEL UP
2019-6-18_19:6:13:359,#s1mple,@chirag178 LUL nice
2019-6-18_19:6:13:388,#xqcow,trash
2019-6-18_19:6:13:447,#xqcow,forsenWC
2019-6-18_19:6:13:476,#xqcow,NOOOOOOOOOOOOOOOOOOOOOOOO
2019-6-18_19:6:13:527,#s1mple,Why he banned?
2019-6-18_19:6:13:573,#asmongold,monkaW
2019-6-18_19:6:13:614,#xqcow,5Head
2019-6-18_19:6:13:632,#xqcow,LULW
2019-6-18_19:6:13:664,#xqcow,5Head
2019-6-18_19:6:13:685,#s1mple,s1mple becomes an AMD brand ambassador: https://navi.gg/en/read/text/3428-s1mple-becomes-an-amd-brand-ambassador
2019-6-18_19:6:13:686,#xqcow,PogU
2019-6-18_19:6:13:816,#xqcow,Level
2019-6-18_19:6:13:820,#asmongold,Chest
2019-6-18_19:6:13:823,#xqcow,oof
2019-6-18_19:6:13:831,#xqcow,♻️
2019-6-18_19:6:13:921,#xqcow,LEARNING PogU
2019-6-18_19:6:14:25,#xqcow,5Head
2019-6-18_19:6:14:69,#xqcow,5Head
2019-6-18_19:6:14:78,#xqcow,PogU ???
2019-6-18_19:6:14:255,#a_seagull,Kappa
2019-6-18_19:6:14:545,#xqcow,YOU CAN GO DOWN ONE MORE
2019-6-18_19:6:14:582,#xqcow,5Head
2019-6-18_19:6:14:637,#xqcow,Pepega
2019-6-18_19:6:14:639,#xqcow,..............................
2019-6-18_19:6:14:727,#xqcow,PogChamp
2019-6-18_19:6:14:742,#xqcow,VOL
2019-6-18_19:6:14:771,#a_seagull,can Bob be reflected by genji? Kappa
2019-6-18_19:6:14:988,#xqcow,@xQcOW INTREST = WIN
2019-6-18_19:6:15:31,#xqcow,5Head Clap
2019-6-18_19:6:15:35,#xqcow,@xQcOW SAVE
2019-6-20_19:6:48:312,#asmongold,LUL LUL LUL LUL
2019-6-20_19:6:50:682,#asmongold,FrankerZ
2019-6-20_19:6:53:267,#xqcow,PepeLaugh
2019-6-20_19:6:53:886,#xqcow,NOT EVEN SCARY LULW
2019-6-20_19:6:53:958,#xqcow,come on bro 😂
2019-6-20_19:6:54:153,#xqcow,PepeLaugh
2019-6-20_19:6:54:658,#xqcow,DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls
2019-6-20_19:6:54:673,#xqcow,monkaSHAKE TeaTime
2019-6-20_19:6:54:814,#xqcow,"COMMON BROTHER" 😂 "COMMON BROTHER" 😂 "COMMON BROTHER" 😂 "COMMON BROTHER" 😂 "COMMON BROTHER" 😂 "COMMON BROTHER" 😂 "COMMON BROTHER" 😂 "COMMON BROTHER" 😂 "COMMON BROTHER" 😂 "COMMON BROTHER" 😂 "COMMON BROTHER" 😂
2019-6-20_19:6:54:955,#xqcow,xqcTOS xqcTOS xqcTOS
2019-6-20_19:6:55:767,#xqcow,ME :)
2019-6-20_19:6:56:270,#xqcow,"now i know, its easy" PepeLaugh nymnCorn
2019-6-20_19:6:56:459,#xqcow,Kappa :)
2019-6-20_19:6:56:485,#xqcow,BRUH forsenJoy forsenJoy forsenJoy forsenJoy forsenJoy
2019-6-20_19:6:56:595,#xqcow,me :)
2019-6-20_19:6:56:746,#xqcow,Y OMEGALUL U
2019-6-20_19:6:57:390,#xqcow,PepeLaugh
2019-6-20_19:6:57:586,#asmongold,yeah mustard, you better watch out
2019-6-20_19:6:57:638,#asmongold,DERRRR I LIKE TO PET KITTUMS AND HOT POCKETS
2019-6-20_19:6:57:645,#xqcow,IM GETTING TILTED
2019-6-20_19:6:58:272,#xqcow,Kappa
2019-6-20_19:6:58:292,#xqcow,HE DOESNT KNOW PepeLaugh
2019-6-20_19:6:58:681,#xqcow,😂 COMMON BRO HE SAID BLACK 😂 COMMON BRO HE SAID BLACK 😂 COMMON BRO HE SAID BLACK 😂 COMMON BRO HE SAID BLACK 😂 COMMON BRO HE SAID BLACK
2019-6-20_19:6:58:686,#xqcow,come on bro 😂 come on bro 😂 come on bro 😂 come on bro 😂 come on bro 😂
2019-6-20_19:6:58:709,#xqcow,ME :)
2019-6-20_19:6:58:827,#asmongold,so @walt_jrs_thumbs
2019-6-20_19:6:59:623,#xqcow,DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie
2019-6-20_19:6:59:864,#xqcow,TriHard TriHard TriHard TriHard TriHard
2019-6-20_19:7:0:116,#asmongold,528k 800k same thing OMEGALUL
2019-6-20_19:7:0:860,#xqcow,monkaW T - T - TODAY?
2019-6-20_19:7:0:995,#xqcow,Pepega
2019-6-20_19:7:1:685,#xqcow,come on bro 😂 come on bro 😂 come on bro 😂 come on bro 😂 come on bro 😂 come on bro 😂 come on bro 😂 come on bro 😂
2019-6-20_19:7:1:718,#xqcow,EVERYTHING IS 😂
2019-6-20_19:7:1:724,#asmongold,sorry
2019-6-20_19:7:2:475,#xqcow,monkaW TeaTime
2019-6-20_19:7:2:507,#asmongold,pupper
2019-6-20_19:7:2:553,#xqcow,cmonBruh
2019-6-20_19:7:3:245,#xqcow,by the seat
2019-6-20_19:7:3:321,#xqcow,COMONNNN BROTHAA
2019-6-20_19:7:3:355,#xqcow,PepeLaugh
2019-6-20_19:7:3:363,#xqcow,DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie DANCE CHAT xqcBoogie
2019-6-20_19:7:3:517,#xqcow,widepeepoHappy DETH
2019-6-20_19:7:3:642,#xqcow,:)
2019-6-20_19:7:3:927,#xqcow,forsen1 forsen2
2019-6-20_19:7:4:437,#xqcow,monkaW
2019-6-20_19:7:4:478,#xqcow,No joke spamming cmonBruh has to be the most haHAA thing
2019-6-20_19:7:4:503,#sypherpk,!mvmt
2019-6-20_19:7:4:743,#sypherpk,Sypher is now sponsored with MVMT watches! Head over to http://mvmt.com/sypherpk and check out Sypher's curated collection and get an additional 15% OFF SITE WIDE!
2019-6-20_19:7:4:810,#asmongold,dude's gonna hold ya down and tickle yer feet
2019-6-20_19:7:5:232,#xqcow,cmonBruh EMOTES cmonBruh EMOTES cmonBruh EMOTES cmonBruh EMOTES cmonBruh EMOTES cmonBruh EMOTES cmonBruh EMOTES cmonBruh EMOTES
2019-6-20_19:7:5:253,#xqcow,forsen3 forsen4
2019-6-20_19:7:6:73,#xqcow,Want to help out xQc and get a badge next to your name? Gift a sub: https://bit.ly/2KPcW7h xqcL You can now gift anonymously.
2019-6-20_19:7:6:480,#sypherpk,Yo wassup chat
2019-6-20_19:7:7:172,#asmongold,LOL
2019-6-20_19:7:7:270,#xqcow,!#showemote nymnHONK
2019-6-20_19:7:7:411,#xqcow,Don't tell him. PepeLaugh Don't tell him. PepeLaugh Don't tell him. PepeLaugh Don't tell him. PepeLaugh Don't tell him. PepeLaugh Don't tell him. PepeLaugh Don't tell him. PepeLaugh Don't tell him. PepeLaugh
2019-6-20_19:7:8:657,#xqcow,monkaW TeaTime
2019-6-20_19:7:8:726,#xqcow,NO LUL
2019-6-20_19:7:9:101,#xqcow,F
2019-6-20_19:7:9:634,#sypherpk,@moodymann, nah
2019-6-20_19:7:10:27,#xqcow,😂 COMMON BRO HE SAID BLACK 😂 COMMON BRO HE SAID BLACK 😂 COMMON BRO HE SAID BLACK 😂 COMMON BRO HE SAID BLACK 😂 COMMON BRO HE SAID BLACK 😂 COMMON BRO HE SAID BLACK
2019-6-20_19:7:10:86,#vader,@LeBabitschew alot of people eat it...
2019-6-20_19:7:10:658,#xqcow,xqcBoogie
2019-6-20_19:7:10:830,#vader,@zdoodpogu we were supposed to get him two weeks ago vadeMad
2019-6-20_19:7:10:867,#vader,monkaW Things are about to get real.
2019-6-20_19:7:11:155,#xqcow,Dolks
2019-6-20_19:7:11:864,#xqcow,HE LACKS CRITICAL INFORMATION PepeLaugh
2019-6-20_19:7:12:323,#sypherpk,@bluememoryz u must man, it's one of the great shows
2019-6-20_19:7:13:454,#nickmercs,nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS
2019-6-20_19:7:13:556,#xqcow,monkaW wttf
2019-6-20_19:7:13:847,#xqcow,PeepoWeird
2019-6-20_19:7:13:908,#nickmercs,nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS
2019-6-20_19:7:14:132,#sypherpk,Chat did sypher qualify for tommorow with ranger
2019-6-20_19:7:14:161,#xqcow,LULW
2019-6-20_19:7:14:173,#nickmercs,nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS nickmercsHYPERS
2019-6-20_19:7:14:182,#vader,LUL
2019-6-20_19:7:14:328,#xqcow,JUST GOOGLE IT 4HEader
2019-6-20_19:7:14:506,#nickmercs,ocularHYPERS ocularHYPERS ocularHYPERS ocularHYPERS
